,0,1,2,3
0,BoW,500,RFC,0.7248116760828626
1,BoW,500,SVC,0.7229284369114878
2,BoW,1000,RFC,0.7445856873822976
3,BoW,1000,SVC,0.748352165725047
4,BoW,5000,RFC,0.766713747645951
5,BoW,5000,SVC,0.7815442561205274
6,BoW,10000,RFC,0.7650659133709982
7,BoW,10000,SVC,0.7860169491525424
8,BoW_ngrams,500,RFC,0.5590866290018832
9,BoW_ngrams,500,SVC,0.5597928436911488
10,BoW_ngrams,1000,RFC,0.6122881355932204
11,BoW_ngrams,1000,SVC,0.6104048964218456
12,BoW_ngrams,5000,RFC,0.6610169491525424
13,BoW_ngrams,5000,SVC,0.6450094161958568
14,BoW_ngrams,10000,RFC,0.6927966101694916
15,BoW_ngrams,10000,SVC,0.6593691148775894
16,TfIdf,500,RFC,0.724105461393597
17,TfIdf,500,SVC,0.7563559322033898
18,TfIdf,1000,RFC,0.745291902071563
19,TfIdf,1000,SVC,0.8029661016949152
20,TfIdf,5000,RFC,0.7554143126177024
21,TfIdf,5000,SVC,0.8173258003766478
22,TfIdf,10000,RFC,0.7443502824858758
23,TfIdf,10000,SVC,0.7954331450094162
24,TfIdf_ngrams,500,RFC,0.5696798493408662
25,TfIdf_ngrams,500,SVC,0.568738229755179
26,TfIdf_ngrams,1000,RFC,0.6014595103578154
27,TfIdf_ngrams,1000,SVC,0.6125235404896422
28,TfIdf_ngrams,5000,RFC,0.66454802259887
29,TfIdf_ngrams,5000,SVC,0.6892655367231638
30,TfIdf_ngrams,10000,RFC,0.6739642184557438
31,TfIdf_ngrams,10000,SVC,0.6970338983050848
